RowID;age;workclass;education;education-num;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;class
Row0;39;State-gov;Bachelors;13;Never-married;Adm-clerical;Not-in-family;White;Male;2174;0;40;United-States;<=50K
Row1;50;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;13;United-States;<=50K
Row2;38;Private;HS-grad;9;Divorced;Handlers-cleaners;Not-in-family;White;Male;0;0;40;United-States;<=50K
Row3;53;Private;11th;7;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male;0;0;40;United-States;<=50K
Row4;28;Private;Bachelors;13;Married-civ-spouse;Prof-specialty;Wife;Black;Female;0;0;40;Cuba;<=50K
Row5;37;Private;Masters;14;Married-civ-spouse;Exec-managerial;Wife;White;Female;0;0;40;United-States;<=50K
Row6;49;Private;9th;5;Married-spouse-absent;Other-service;Not-in-family;Black;Female;0;0;16;Jamaica;<=50K
Row7;52;Self-emp-not-inc;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;White;Male;0;0;45;United-States;>50K
Row8;31;Private;Masters;14;Never-married;Prof-specialty;Not-in-family;White;Female;14084;0;50;United-States;>50K
Row9;42;Private;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;White;Male;5178;0;40;United-States;>50K
Row10;37;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0;0;80;United-States;>50K
Row11;30;State-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male;0;0;40;India;>50K
Row12;23;Private;Bachelors;13;Never-married;Adm-clerical;Own-child;White;Female;0;0;30;United-States;<=50K
Row13;32;Private;Assoc-acdm;12;Never-married;Sales;Not-in-family;Black;Male;0;0;50;United-States;<=50K
Row14;40;Private;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male;0;0;40;;>50K
Row15;34;Private;7th-8th;4;Married-civ-spouse;Transport-moving;Husband;Amer-Indian-Eskimo;Male;0;0;45;Mexico;<=50K
Row16;25;Self-emp-not-inc;HS-grad;9;Never-married;Farming-fishing;Own-child;White;Male;0;0;35;United-States;<=50K
Row17;32;Private;HS-grad;9;Never-married;Machine-op-inspct;Unmarried;White;Male;0;0;40;United-States;<=50K
Row18;38;Private;11th;7;Married-civ-spouse;Sales;Husband;White;Male;0;0;50;United-States;<=50K
Row19;43;Self-emp-not-inc;Masters;14;Divorced;Exec-managerial;Unmarried;White;Female;0;0;45;United-States;>50K
Row20;40;Private;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;60;United-States;>50K
Row21;54;Private;HS-grad;9;Separated;Other-service;Unmarried;Black;Female;0;0;20;United-States;<=50K
Row22;35;Federal-gov;9th;5;Married-civ-spouse;Farming-fishing;Husband;Black;Male;0;0;40;United-States;<=50K
Row23;43;Private;11th;7;Married-civ-spouse;Transport-moving;Husband;White;Male;0;2042;40;United-States;<=50K
Row24;59;Private;HS-grad;9;Divorced;Tech-support;Unmarried;White;Female;0;0;40;United-States;<=50K
Row25;56;Local-gov;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
Row26;19;Private;HS-grad;9;Never-married;Craft-repair;Own-child;White;Male;0;0;40;United-States;<=50K
Row27;54;;Some-college;10;Married-civ-spouse;;Husband;Asian-Pac-Islander;Male;0;0;60;South;>50K
Row28;39;Private;HS-grad;9;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;80;United-States;<=50K
Row29;49;Private;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
Row30;23;Local-gov;Assoc-acdm;12;Never-married;Protective-serv;Not-in-family;White;Male;0;0;52;United-States;<=50K
Row31;20;Private;Some-college;10;Never-married;Sales;Own-child;Black;Male;0;0;44;United-States;<=50K
Row32;45;Private;Bachelors;13;Divorced;Exec-managerial;Own-child;White;Male;0;1408;40;United-States;<=50K
Row33;30;Federal-gov;Some-college;10;Married-civ-spouse;Adm-clerical;Own-child;White;Male;0;0;40;United-States;<=50K
Row34;22;State-gov;Some-college;10;Married-civ-spouse;Other-service;Husband;Black;Male;0;0;15;United-States;<=50K
Row35;48;Private;11th;7;Never-married;Machine-op-inspct;Unmarried;White;Male;0;0;40;Puerto-Rico;<=50K
Row36;21;Private;Some-college;10;Never-married;Machine-op-inspct;Own-child;White;Male;0;0;40;United-States;<=50K
Row37;19;Private;HS-grad;9;Married-AF-spouse;Adm-clerical;Wife;White;Female;0;0;25;United-States;<=50K
Row38;31;Private;Some-college;10;Married-civ-spouse;Sales;Husband;White;Male;0;0;38;;>50K
Row39;48;Self-emp-not-inc;Assoc-acdm;12;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
Row40;31;Private;9th;5;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;43;United-States;<=50K
Row41;53;Self-emp-not-inc;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;White;Male;0;0;40;United-States;<=50K
Row42;24;Private;Bachelors;13;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;50;United-States;<=50K
Row43;49;Private;HS-grad;9;Separated;Adm-clerical;Unmarried;White;Female;0;0;40;United-States;<=50K
Row44;25;Private;HS-grad;9;Never-married;Handlers-cleaners;Not-in-family;White;Male;0;0;35;United-States;<=50K
Row45;57;Federal-gov;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;Black;Male;0;0;40;United-States;>50K
Row46;53;Private;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;38;United-States;<=50K
Row47;44;Private;Masters;14;Divorced;Exec-managerial;Unmarried;White;Female;0;0;40;United-States;<=50K
Row48;41;State-gov;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;White;Male;0;0;40;United-States;<=50K
Row49;29;Private;Assoc-voc;11;Never-married;Prof-specialty;Not-in-family;White;Male;0;0;43;United-States;<=50K
Row50;25;Private;Some-college;10;Married-civ-spouse;Exec-managerial;Wife;Other;Female;0;0;40;United-States;<=50K
Row51;18;Private;HS-grad;9;Never-married;Other-service;Own-child;White;Female;0;0;30;;<=50K
Row52;47;Private;Prof-school;15;Married-civ-spouse;Prof-specialty;Wife;White;Female;0;1902;60;Honduras;>50K
Row53;50;Federal-gov;Bachelors;13;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;55;United-States;>50K
Row54;47;Self-emp-inc;HS-grad;9;Divorced;Exec-managerial;Not-in-family;White;Male;0;0;60;United-States;<=50K
Row55;43;Private;Some-college;10;Married-civ-spouse;Tech-support;Husband;White;Male;0;0;40;United-States;>50K
Row56;46;Private;5th-6th;3;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0;0;40;Mexico;<=50K
Row57;35;Private;Assoc-voc;11;Married-civ-spouse;Other-service;Husband;White;Male;0;0;40;Puerto-Rico;<=50K
Row58;41;Private;HS-grad;9;Married-civ-spouse;Adm-clerical;Husband;White;Male;0;0;48;United-States;<=50K
